road,direction,km,mffs
7,out,0,147
7,out,1,140
7,out,2,151
7,out,3,153
7,out,4,159
7,out,5,154
7,out,6,160
7,out,7,142
7,out,8,152
7,out,9,160
7,out,10,152
7,out,11,130
7,out,12,143
7,out,13,124
7,out,14,145
7,out,15,139
7,out,16,151
7,out,17,157
7,out,18,112
7,out,19,132
7,out,20,149
7,out,21,143
7,out,22,137
7,out,23,153
7,out,24,129
7,out,25,129
7,out,26,116
7,out,27,123
7,out,28,137
7,out,29,138
7,out,30,132
7,out,31,131
7,out,32,139
7,out,33,156
7,out,34,153
7,out,35,137
7,out,36,139
7,out,37,156
7,out,38,143
7,out,39,142
7,out,40,159
7,out,41,159
7,out,42,141
7,out,43,147
7,out,44,145
7,out,45,155
7,out,46,154
7,out,47,147
7,out,48,140
7,out,49,142
7,out,50,145
7,out,51,160
7,out,52,159
7,out,53,160
7,out,54,151
7,out,55,148
7,out,56,160
7,out,57,155
7,out,58,152
7,out,59,150
7,out,60,133
7,out,61,144
7,out,62,143
7,out,63,151
7,out,64,147
7,out,65,149
7,out,66,157
7,out,67,149
7,out,68,134
7,out,69,160
7,out,70,150
7,out,71,143
7,out,72,160
7,out,73,157
7,out,74,147
7,out,75,146
7,out,76,147
7,out,77,149
7,out,78,146
7,out,79,143
7,out,80,129
7,out,81,114
7,out,82,124
7,out,83,130
7,out,84,130
7,out,85,154
7,out,86,149
7,out,87,159
7,out,88,129
7,out,89,146
7,out,90,132
7,out,91,131
7,out,92,133
7,out,93,124
7,out,94,120
7,out,95,134
7,out,96,95
7,out,97,116
7,out,98,119
7,out,99,136
7,out,100,152
7,out,101,132
7,out,102,131
7,out,103,125
7,out,104,148
7,out,105,160
7,out,106,135
7,out,107,149
7,out,108,138
7,out,109,144
7,out,110,152
7,out,111,137
7,out,112,152
7,out,113,156
7,out,114,160
7,out,115,160
7,out,116,137
7,out,117,153
7,out,118,114
7,out,119,134
7,out,120,141
7,out,121,146
7,out,122,138
7,out,123,131
7,out,124,132
