road,direction,km,mffs
1,out,19,20
1,out,25,134
1,out,26,130
1,out,27,141
1,out,28,144
1,out,29,121
1,out,30,123
1,out,31,132
1,out,32,116
1,out,33,126
1,out,34,101
1,out,35,135
1,out,36,126
1,out,37,126
1,out,38,116
1,out,39,123
1,out,40,137
1,out,41,122
1,out,42,139
1,out,43,142
1,out,44,135
1,out,45,134
1,out,46,121
1,out,47,122
1,out,48,117
1,out,49,124
1,out,50,124
1,out,51,109
1,out,52,124
1,out,53,91
1,out,54,106
1,out,55,125
1,out,56,113
1,out,57,113
1,out,58,139
1,out,59,118
1,out,60,118
1,out,61,124
1,out,62,116
1,out,63,119
1,out,64,136
1,out,65,129
1,out,66,129
1,out,67,132
1,out,68,136
1,out,69,142
1,out,70,136
1,out,71,127
1,out,72,129
1,out,73,127
1,out,74,130
1,out,75,143
1,out,76,152
1,out,77,122
1,out,78,153
1,out,79,141
1,out,80,114
1,out,81,131
1,out,82,117
1,out,83,158
1,out,84,138
1,out,85,119
1,out,86,121
1,out,87,130
1,out,88,112
1,out,89,124
1,out,90,123
1,out,91,121
1,out,92,95
1,out,93,90
1,out,94,94
1,out,95,89
1,out,96,108
1,out,97,138
1,out,98,119
1,out,99,122
1,out,100,120
1,out,101,124
1,out,102,124
1,out,103,117
1,out,104,96
1,out,105,114
1,out,106,113
1,out,107,89
1,out,108,95
1,out,109,111
1,out,110,115
1,out,111,132
1,out,112,127
1,out,113,101
1,out,114,100
1,out,115,111
1,out,116,96
1,out,117,94
1,out,118,118
1,out,119,115
1,out,120,132
1,out,121,104
1,out,122,124
1,out,123,106
1,out,124,101
1,out,125,119
1,out,126,127
1,out,127,103
1,out,128,160
1,out,129,100
1,out,130,107
1,out,131,119
1,out,132,124
1,out,133,115
1,out,134,122
1,out,135,123
1,out,136,108
1,out,137,109
1,out,138,99
1,out,139,125
1,out,140,116
1,out,141,123
1,out,142,135
1,out,143,122
1,out,144,131
1,out,145,115
1,out,146,130
1,out,147,125
1,out,148,105
1,out,149,106
1,out,150,103
1,out,151,115
1,out,152,107
1,out,153,96
1,out,154,82
1,out,155,95
1,out,156,111
1,out,157,125
1,out,158,111
1,out,159,101
1,out,160,124
1,out,161,122
1,out,162,107
1,out,163,107
1,out,164,91
1,out,165,90
1,out,166,78
1,out,167,121
1,out,168,105
1,out,169,111
1,out,170,131
1,out,171,119
1,out,172,114
1,out,173,120
1,out,174,135
1,out,175,124
1,out,176,122
1,out,177,118
1,out,178,112
1,out,179,118
1,out,180,128
1,out,181,117
1,out,182,134
1,out,183,135
1,out,184,121
1,out,185,127
1,out,186,138
1,out,187,120
1,out,188,111
1,out,189,77
