road,direction,km,mffs
2,out,404,125
2,out,405,130
2,out,406,125
2,out,407,120
2,out,408,141
2,out,409,125
2,out,410,126
2,out,411,119
2,out,412,118
2,out,413,117
2,out,414,116
2,out,415,132
2,out,416,121
2,out,417,131
2,out,418,118
2,out,419,110
2,out,420,101
2,out,421,113
2,out,422,116
2,out,423,112
2,out,424,117
2,out,425,131
2,out,426,127
2,out,427,118
2,out,428,145
2,out,429,122
2,out,430,133
2,out,431,153
2,out,432,123
2,out,433,114
2,out,434,119
2,out,435,110
2,out,436,127
2,out,437,119
2,out,438,120
2,out,439,107
2,out,440,118
2,out,441,116
2,out,442,114
2,out,443,110
2,out,444,117
2,out,445,126
2,out,446,111
2,out,447,113
2,out,448,119
2,out,449,109
2,out,450,20
2,out,458,107
2,out,459,102
2,out,460,118
2,out,461,117
2,out,462,117
2,out,463,119
2,out,464,126
2,out,465,125
2,out,466,128
2,out,467,130
2,out,468,126
2,out,469,128
2,out,470,127
2,out,471,136
2,out,472,137
2,out,473,140
2,out,474,118
2,out,475,136
2,out,476,125
2,out,477,126
2,out,478,119
2,out,479,136
2,out,480,122
2,out,481,131
2,out,482,121
2,out,483,125
2,out,484,121
2,out,485,94
2,out,486,117
2,out,487,125
2,out,488,143
2,out,489,129
2,out,490,134
2,out,491,142
2,out,492,134
2,out,493,126
2,out,494,122
2,out,495,124
2,out,496,118
2,out,497,123
2,out,498,141
2,out,499,121
2,out,500,131
2,out,501,108
2,out,502,92
2,out,503,100
2,out,504,114
2,out,505,104
2,out,506,114
2,out,507,93
2,out,508,90
