road,direction,km,mffs
2,in,184,131
2,in,185,123
2,in,186,124
2,in,187,117
2,in,188,121
2,in,189,125
2,in,190,125
2,in,191,121
2,in,192,124
2,in,193,121
2,in,194,145
2,in,195,134
2,in,196,131
2,in,197,119
2,in,198,120
2,in,199,120
2,in,200,116
2,in,201,123
2,in,202,124
2,in,203,120
2,in,204,125
2,in,205,133
2,in,206,120
2,in,207,121
2,in,208,112
2,in,209,126
2,in,210,142
2,in,211,123
2,in,212,131
2,in,213,137
2,in,214,140
2,in,215,139
2,in,216,124
2,in,217,127
2,in,218,131
2,in,219,136
2,in,220,149
2,in,221,135
2,in,222,115
2,in,223,129
2,in,224,122
2,in,225,151
2,in,226,144
2,in,227,122
2,in,228,135
2,in,229,128
2,in,230,120
2,in,231,125
2,in,232,114
2,in,233,98
2,in,234,125
2,in,235,122
2,in,236,118
2,in,237,126
2,in,238,142
2,in,239,127
2,in,240,141
2,in,241,150
2,in,242,119
2,in,243,112
2,in,244,119
2,in,245,152
2,in,246,142
2,in,247,119
2,in,248,126
2,in,249,123
2,in,250,123
2,in,251,125
2,in,252,149
2,in,253,119
2,in,254,113
2,in,255,122
2,in,256,120
2,in,257,127
2,in,258,136
2,in,259,117
2,in,260,129
2,in,261,118
2,in,262,112
2,in,263,90
2,in,264,103
2,in,265,147
2,in,266,131
2,in,267,134
2,in,268,129
2,in,269,144
2,in,270,135
2,in,271,120
2,in,272,118
2,in,273,135
2,in,274,133
2,in,275,133
2,in,276,121
2,in,277,127
2,in,278,122
2,in,279,130
2,in,280,125
2,in,281,107
2,in,282,109
2,in,283,110
2,in,284,120
2,in,285,119
2,in,286,127
2,in,287,120
2,in,288,115
2,in,289,117
2,in,290,123
2,in,291,106
2,in,292,119
2,in,293,112
2,in,294,100
2,in,295,97
2,in,296,128
2,in,297,126
2,in,298,120
2,in,299,160
2,in,300,120
2,in,301,121
2,in,302,125
2,in,303,121
2,in,304,130
2,in,305,118
2,in,306,134
2,in,307,135
2,in,308,136
2,in,309,138
2,in,310,118
2,in,311,109
2,in,312,135
2,in,313,130
2,in,314,131
2,in,315,125
2,in,316,117
2,in,317,153
2,in,318,124
2,in,319,113
2,in,320,112
2,in,321,138
2,in,322,120
2,in,323,114
2,in,324,123
2,in,325,120
2,in,326,115
2,in,327,120
2,in,328,112
2,in,329,114
2,in,330,115
2,in,331,114
2,in,332,116
2,in,333,126
2,in,334,117
2,in,337,20
2,in,338,91
2,in,343,20
2,in,344,122
2,in,345,135
2,in,346,107
2,in,347,110
2,in,348,112
2,in,349,119
2,in,350,127
2,in,351,119
2,in,352,119
2,in,353,130
2,in,354,109
2,in,355,119
2,in,356,117
2,in,357,111
2,in,358,119
2,in,359,147
2,in,360,117
2,in,361,114
2,in,362,125
2,in,363,160
2,in,364,115
2,in,365,111
2,in,366,131
2,in,367,145
2,in,368,125
2,in,369,114
2,in,370,137
2,in,371,116
2,in,372,127
2,in,373,146
2,in,374,135
2,in,375,125
2,in,376,143
2,in,377,108
2,in,378,132
2,in,379,118
2,in,380,136
2,in,381,129
2,in,382,120
2,in,383,139
2,in,384,142
2,in,385,126
2,in,386,144
2,in,387,127
2,in,388,112
2,in,389,115
2,in,390,119
2,in,391,125
2,in,392,115
2,in,393,125
2,in,394,129
2,in,395,121
2,in,396,122
2,in,397,139
2,in,398,130
2,in,399,116
2,in,400,108
2,in,401,106
2,in,402,113
2,in,403,117
2,in,404,119
2,in,405,127
2,in,406,150
2,in,407,119
2,in,408,118
2,in,409,120
2,in,410,118
2,in,411,104
2,in,412,118
2,in,413,111
2,in,414,135
2,in,415,135
2,in,416,116
2,in,417,131
2,in,418,123
2,in,419,110
2,in,420,101
2,in,421,113
2,in,422,116
2,in,423,128
2,in,424,133
2,in,425,144
2,in,426,116
2,in,427,114
2,in,428,150
2,in,429,144
2,in,430,119
2,in,431,119
2,in,432,129
2,in,433,118
2,in,434,109
2,in,435,116
2,in,436,125
2,in,437,118
2,in,438,109
2,in,439,115
2,in,440,112
2,in,441,122
2,in,442,110
2,in,443,120
2,in,444,120
2,in,445,114
2,in,446,116
2,in,447,108
2,in,448,103
2,in,449,93
2,in,450,86
2,in,458,20
2,in,459,102
2,in,460,118
2,in,461,117
2,in,462,117
2,in,463,119
2,in,464,126
2,in,465,125
2,in,466,128
2,in,467,130
2,in,468,126
2,in,469,128
2,in,470,127
2,in,471,136
2,in,472,137
2,in,473,140
2,in,474,125
2,in,475,136
2,in,476,142
2,in,477,129
2,in,478,119
2,in,479,136
2,in,480,122
2,in,481,131
2,in,482,140
2,in,483,125
2,in,484,122
2,in,485,121
2,in,486,122
2,in,487,119
2,in,488,143
2,in,489,129
2,in,490,134
2,in,491,142
2,in,492,134
2,in,493,126
2,in,494,122
2,in,495,124
2,in,496,118
2,in,497,123
2,in,498,141
2,in,499,121
2,in,500,131
2,in,501,119
2,in,502,65
2,in,503,91
2,in,504,111
2,in,505,102
2,in,506,95
2,in,507,98
2,in,508,91
