road,direction,km,mffs
2,in,0,20
2,in,1,109
2,in,2,119
2,in,3,143
2,in,4,129
2,in,5,120
2,in,6,114
2,in,7,116
2,in,8,101
2,in,9,109
2,in,10,121
2,in,11,118
2,in,12,99
2,in,13,116
2,in,14,103
2,in,15,111
2,in,16,125
2,in,17,116
2,in,18,119
2,in,19,116
2,in,20,129
2,in,21,116
2,in,22,116
2,in,23,112
2,in,24,107
2,in,25,125
2,in,26,120
2,in,27,123
2,in,28,123
2,in,29,101
2,in,30,112
2,in,31,107
2,in,32,109
2,in,33,115
2,in,34,105
2,in,35,111
2,in,36,129
2,in,37,120
2,in,38,94
2,in,39,106
2,in,40,124
2,in,41,128
2,in,42,112
2,in,43,123
2,in,44,121
2,in,45,113
2,in,46,114
2,in,47,145
2,in,48,120
2,in,49,121
2,in,50,124
2,in,51,129
2,in,52,123
2,in,53,104
2,in,54,118
2,in,55,116
2,in,56,115
2,in,57,132
2,in,58,134
2,in,59,116
2,in,60,121
2,in,61,131
2,in,62,123
2,in,63,112
2,in,64,120
2,in,65,118
2,in,66,108
2,in,67,104
2,in,68,113
2,in,69,135
2,in,70,123
2,in,71,120
2,in,72,121
2,in,73,119
2,in,74,149
2,in,75,142
2,in,76,136
2,in,77,119
2,in,78,117
2,in,79,121
2,in,80,123
2,in,81,106
2,in,82,110
2,in,83,113
2,in,84,122
2,in,85,134
2,in,86,115
2,in,87,146
2,in,88,97
2,in,89,117
2,in,90,121
2,in,91,138
2,in,92,131
2,in,93,119
2,in,94,123
2,in,95,121
2,in,96,109
2,in,97,114
2,in,98,121
2,in,99,118
2,in,100,122
2,in,101,107
2,in,102,119
2,in,103,118
2,in,104,131
2,in,105,138
2,in,106,134
2,in,107,134
2,in,108,124
2,in,109,144
2,in,110,119
2,in,111,127
2,in,112,137
2,in,113,129
2,in,114,124
2,in,115,127
2,in,116,144
2,in,117,118
2,in,118,114
2,in,119,126
2,in,120,125
2,in,121,144
2,in,122,134
2,in,123,122
2,in,124,142
2,in,125,137
2,in,126,109
2,in,127,109
2,in,128,119
2,in,129,118
2,in,130,119
2,in,131,124
2,in,132,111
2,in,133,134
2,in,134,119
2,in,135,131
2,in,136,118
2,in,137,118
2,in,138,118
2,in,139,122
2,in,140,118
2,in,141,121
2,in,142,116
2,in,143,109
2,in,144,87
2,in,145,109
2,in,146,74
2,in,147,106
2,in,148,101
2,in,149,160
2,in,150,120
2,in,151,130
2,in,152,97
2,in,153,137
2,in,154,132
2,in,155,135
2,in,156,124
2,in,157,117
2,in,158,123
2,in,159,120
2,in,160,105
2,in,161,129
2,in,162,118
2,in,163,110
2,in,164,109
2,in,165,118
2,in,166,113
2,in,167,114
2,in,168,120
2,in,169,110
2,in,170,112
2,in,171,119
2,in,172,109
2,in,173,117
2,in,174,97
2,in,175,112
2,in,176,119
2,in,177,125
2,in,178,124
2,in,179,121
2,in,180,130
2,in,181,117
2,in,182,126
2,in,183,120
