road,direction,km,mffs
7,in,0,20
7,in,1,147
7,in,2,159
7,in,3,157
7,in,4,160
7,in,5,160
7,in,6,160
7,in,7,151
7,in,8,143
7,in,9,131
7,in,10,131
7,in,11,149
7,in,12,138
7,in,13,125
7,in,14,139
7,in,15,160
7,in,16,143
7,in,17,143
7,in,18,121
7,in,19,131
7,in,20,144
7,in,21,160
7,in,22,139
7,in,23,129
7,in,24,138
7,in,25,141
7,in,26,95
7,in,27,122
7,in,28,147
7,in,29,143
7,in,30,151
7,in,31,136
7,in,32,140
7,in,33,145
7,in,34,152
7,in,35,153
7,in,36,140
7,in,37,151
7,in,38,146
7,in,39,160
7,in,40,147
7,in,41,150
7,in,42,153
7,in,43,160
7,in,44,159
7,in,45,148
7,in,46,152
7,in,47,145
7,in,48,150
7,in,49,153
7,in,50,146
7,in,51,160
7,in,52,160
7,in,53,143
7,in,54,139
7,in,55,139
7,in,56,109
7,in,57,155
7,in,58,144
7,in,59,150
7,in,60,133
7,in,61,144
7,in,62,143
7,in,63,151
7,in,64,147
7,in,65,149
7,in,66,158
7,in,67,149
7,in,68,149
7,in,69,160
7,in,70,160
7,in,71,154
7,in,72,160
7,in,73,156
7,in,74,148
7,in,75,136
7,in,76,145
7,in,77,136
7,in,78,139
7,in,79,152
7,in,80,136
7,in,81,114
7,in,82,124
7,in,83,138
7,in,84,155
7,in,85,131
7,in,86,125
7,in,87,128
7,in,88,133
7,in,89,136
7,in,90,132
7,in,91,150
7,in,92,157
7,in,93,140
7,in,94,126
7,in,95,126
7,in,96,127
7,in,97,116
7,in,98,119
7,in,99,141
7,in,100,152
7,in,101,132
7,in,102,131
7,in,103,125
7,in,104,148
7,in,105,141
7,in,106,130
7,in,107,149
7,in,108,138
7,in,109,144
7,in,110,152
7,in,111,136
7,in,112,160
7,in,113,148
7,in,114,134
7,in,115,147
7,in,116,139
7,in,117,132
7,in,118,115
7,in,119,133
7,in,120,131
7,in,121,131
7,in,122,129
7,in,123,138
7,in,124,132
